Seccion;Manzana;Parcela;SMP;Expediente;Nomenclacion par;Fecha de registro;Direccion;Comuna 1;Codigo postal;Codigo postal argentino;Tipo obra;Superficie (m2);Direccion normalizada;Lon;Lat;Calle;Altura;Barrio;Comuna;
 ; ; ; - - ;22288434/17;;2018-01-12;A.M.AGUADO 2861;Comuna 14;1425;C1425CEA;Obra Menor;260.08;AGUADO, ALEJANDRO M. DE 2861;-58.40182594;-34.57986736;AGUADO, ALEJANDRO M. DE;2861;Palermo;14;
45;89;9;045-089-009;30246145/18;7-45-89-09;2019-05-23;A.MACHADO 568;Comuna 6;1405;C1405DIB;Obra Media;701.74;MACHADO, ANTONIO 568;-58.43971632;-34.6065407;MACHADO, ANTONIO;568;Caballito;6;
26;15;001c;026-015-001c;16747721/17;5-26-15-1C;2017-11-23;A.MAGALDI 2209;Comuna 4;1286;C1286AFW;Obra Mayor;18621.81;MAGALDI, AGUSTIN 2209;-58.39149142;-34.66152348;MAGALDI, AGUSTIN;2209;Barracas;4;
87;85B;17;087-85B-017;31046438/18;15-87-85B-17;2019-05-10;A.MOHR 2280;Comuna 10;1417;C1417BJB;Obra Menor;115.23;MOHR, ALEJANDRO 2280;-58.50492296;-34.61833638;MOHR, ALEJANDRO;2280;Monte Castro;10;
95;35;001a;095-035-001a;12022935/18;1-95-35-1a;2018-07-30;A.S.VALIENTE 154;Comuna 9;1408;C1408HPD;Obra Media;1299.39;SAENZ VALIENTE, ANSELMO 154;-58.51051696;-34.63752522;SAENZ VALIENTE, ANSELMO;154;Liniers;9;
98;01T;002a;098-01T-002a;17088126/18;21-98-1T-2a;2018-10-31;A.VILLAFLOR 559;Comuna 1;1107;C1107CIK;Obra Media;507.61;VILLAFLOR, AZUCENA 559;-58.36032713;-34.6120201;VILLAFLOR, AZUCENA;559;Puerto Madero;1;
60;105;9;060-105-009;18513481/17;1-60-105-9;2017-11-23;ACASSUSO 5185;Comuna 10;1408;C1408FDA;Obra Media;880.84;ACASSUSO 5185;-58.50361975;-34.63932731;ACASSUSO;5185;Villa Luro;10;
74;127;001d;074-127-001d;39468492/15;1-74-127-1d;2017-09-28;ACASSUSO 6211;Comuna 9;1408;C1408FDW;Obra Media;822.79;ACASSUSO 6211;-58.51191663;-34.64687067;ACASSUSO;6211;Liniers;9;
 ; ; ; - - ;12060382/18;;2018-06-06;ACASSUSO 7187/89;Comuna 9;1408;C1408FES;Obra Menor;311.12;ACASSUSO 7187;-58.51927404;-34.65341768;ACASSUSO;7187;Liniers;9;
74;12A;9;074-12A-009;277049-33/18;1-74-12A-9;2018-12-18;ACASSUSO 7550/52;Comuna 9;1440;C1440CMF;Obra Menor;41.5;ACASSUSO 7550;-58.52152184;-34.65661981;ACASSUSO;7550;Mataderos;9;
74;12A;8;074-12A-008;34937598/18;1-74-12A-8;2019-02-26;ACASUSO 7544;Comuna 9;1440;C1440CMF;Obra Menor;63.3;ACASSUSO 7544;-58.5214264;-34.6565393;ACASSUSO;7544;Mataderos;9;
 ; ; ; - - ;30152607/17;;2018-02-28;ACASUSO 7544/46;Comuna 9;1440;C1440CMF;Obra Menor;144.5;ACASSUSO 7544;-58.5214264;-34.6565393;ACASSUSO;7544;Mataderos;9;
31;77;9;031-077-009;28086724/18;18-031-077-009;2018-11-05;ACEVEDO 1029/31;Comuna 15;1414;C1414DJU;Obra Menor;331.42;ACEVEDO 1029;-58.43372769;-34.59371882;ACEVEDO;1029;Villa Crespo;15;
31;77;3;031-077-003;29747421/17;18-31-77-3;2018-09-13;ACEVEDO 1085/89;Comuna 15;1414;C1414DJU;Obra Mayor;3378.7;ACEVEDO 1085;-58.43326038;-34.59342041;ACEVEDO;1085;Villa Crespo;15;
31;5;25;031-005-025;31935505/18;18-31-5-25;2019-02-27;ACEVEDO 450/58;Comuna 15;1414;C1414DJJ;Obra Mayor;3079.04;ACEVEDO 450;-58.44007573;-34.59765518;ACEVEDO;450;Villa Crespo;15;
 ; ; ; - - ;29138546/17;;2018-04-25;ACEVEDO 561/67;Comuna 15;1414;C1414DJK;Obra Mayor;5247.57;ACEVEDO 561;-58.43868272;-34.59688842;ACEVEDO;561;Villa Crespo;15;
31;66;24;031-066-024;6986516/17;18-31-66-24;2017-11-30;ACEVEDO 936;Comuna 15;1414;C1414DJT;Obra Media;666.29;ACEVEDO 936;-58.43476529;-34.59425653;ACEVEDO;936;Villa Crespo;15;
42;51;32;042-051-032;33078105/18;05-42-51-32;2019-02-28;ACHAVAL 239/41;Comuna 6;1406;C1406CWA;Obra Media;1836.53;ACHAVAL 239;-58.44981018;-34.62708198;ACHAVAL;239;Caballito;6;
 ; ; ; - - ;29892513/17;;2018-04-09;ACHAVAL 264;Comuna 6;1406;C1406CWB;Obra Media;1910.61;ACHAVAL 264;-58.44951842;-34.62740623;ACHAVAL;264;Caballito;6;
 ; ; ; - - ;9116576/18;;2018-06-05;ACHAVAL 280;Comuna 6;1406;C1406CWB;Obra Media;881.7;ACHAVAL 280;-58.44941406;-34.62761477;ACHAVAL;280;Caballito;6;
42;58;007b;042-058-007b;32424072/18;5-42-58-7B;2019-01-02;ACHAVAL 426;Comuna 6;1406;C1406CWF;Obra Media;1146.96;ACHAVAL 426;-58.44855154;-34.62934223;ACHAVAL;426;Caballito;6;
 ; ; ; - - ;12624528/14;;2018-02-08;ACHAVAL 492;Comuna 6;1406;C1406CWF;Obra Media;660.92;ACHAVAL 492;-58.44826471;-34.62991944;ACHAVAL;492;Caballito;6;
